Time,URL,having_IP_Address,URL_Length,Shortining_Service,having_At_Symbol,double_slash_redirecting,Prefix_Suffix,having_Sub_Domain,SSLfinal_State,Favicon,port,HTTPS_token,Submitting_to_email,Redirect,age_of_domain,Result
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=11, tm_hour=4, tm_min=13, tm_sec=13, tm_wday=0, tm_yday=11, tm_isdst=0)",https://gist.github.com/betrcode/0248f0fda894013382d7,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=11, tm_hour=4, tm_min=16, tm_sec=10, tm_wday=0, tm_yday=11, tm_isdst=0)",https://gist.github.com/betrcode/0248f0fda894013382d7,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=11, tm_hour=4, tm_min=20, tm_sec=42, tm_wday=0, tm_yday=11, tm_isdst=0)",https://gist.github.com/betrcode/0248f0fda894013382d7,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=11, tm_hour=4, tm_min=21, tm_sec=3, tm_wday=0, tm_yday=11, tm_isdst=0)",https://gist.github.com/betrcode/0248f0fda894013382d7,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=11, tm_hour=4, tm_min=21, tm_sec=28, tm_wday=0, tm_yday=11, tm_isdst=0)",https://gist.github.com/betrcode/0248f0fda894013382d7,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=11, tm_hour=4, tm_min=25, tm_sec=5, tm_wday=0, tm_yday=11, tm_isdst=0)",https://gist.github.com/betrcode/0248f0fda894013382d7,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=11, tm_hour=14, tm_min=0, tm_sec=8, tm_wday=0, tm_yday=11, tm_isdst=0)",https://gist.github.com/betrcode/0248f0fda894013382d7,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=11, tm_hour=14, tm_min=4, tm_sec=18, tm_wday=0, tm_yday=11, tm_isdst=0)",https://gist.github.com/betrcode/0248f0fda894013382d7,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=11, tm_hour=21, tm_min=40, tm_sec=13, tm_wday=0, tm_yday=11, tm_isdst=0)",https://gist.github.com/betrcode/0248f0fda894013382d7,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=11, tm_hour=21, tm_min=56, tm_sec=40, tm_wday=0, tm_yday=11, tm_isdst=0)",https://gist.github.com/betrcode/0248f0fda894013382d7,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=11, tm_hour=22, tm_min=7, tm_sec=11, tm_wday=0, tm_yday=11, tm_isdst=0)",https://gist.github.com/betrcode/0248f0fda894013382d7,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=13, tm_hour=16, tm_min=24, tm_sec=11, tm_wday=2, tm_yday=13, tm_isdst=0)",https://gist.github.com/betrcode/0248f0fda894013382d7,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=13, tm_hour=18, tm_min=41, tm_sec=27, tm_wday=2, tm_yday=13, tm_isdst=0)",https://gist.github.com/betrcode/0248f0fda894013382d7,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=13, tm_hour=18, tm_min=42, tm_sec=7, tm_wday=2, tm_yday=13, tm_isdst=0)",https://gist.github.com/betrcode/0248f0fda894013382d7,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=13, tm_hour=18, tm_min=47, tm_sec=15, tm_wday=2, tm_yday=13, tm_isdst=0)",https://gist.github.com/betrcode/0248f0fda894013382d7,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=13, tm_hour=18, tm_min=47, tm_sec=59, tm_wday=2, tm_yday=13, tm_isdst=0)",https://gist.github.com/betrcode/0248f0fda894013382d7,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=13, tm_hour=18, tm_min=48, tm_sec=32, tm_wday=2, tm_yday=13, tm_isdst=0)",https://gist.github.com/betrcode/0248f0fda894013382d7,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=13, tm_hour=18, tm_min=49, tm_sec=43, tm_wday=2, tm_yday=13, tm_isdst=0)",https://gist.github.com/betrcode/0248f0fda894013382d7,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=13, tm_hour=18, tm_min=49, tm_sec=58, tm_wday=2, tm_yday=13, tm_isdst=0)",https://gist.github.com/betrcode/0248f0fda894013382d7,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=13, tm_hour=18, tm_min=50, tm_sec=44, tm_wday=2, tm_yday=13, tm_isdst=0)",https://gist.github.com/betrcode/0248f0fda894013382d7,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=13, tm_hour=18, tm_min=52, tm_sec=50, tm_wday=2, tm_yday=13, tm_isdst=0)",https://gist.github.com/betrcode/0248f0fda894013382d7,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=13, tm_hour=18, tm_min=56, tm_sec=46, tm_wday=2, tm_yday=13, tm_isdst=0)",https://gist.github.com/betrcode/0248f0fda894013382d7,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=13, tm_hour=18, tm_min=57, tm_sec=27, tm_wday=2, tm_yday=13, tm_isdst=0)",https://gist.github.com/betrcode/0248f0fda894013382d7,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=13, tm_hour=21, tm_min=19, tm_sec=29, tm_wday=2, tm_yday=13, tm_isdst=0)",https://gist.github.com/betrcode/0248f0fda894013382d7,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
