Time,URL,having_IP_Address,URL_Length,Shortining_Service,having_At_Symbol,double_slash_redirecting,Prefix_Suffix,having_Sub_Domain,SSLfinal_State,Favicon,port,HTTPS_token,Submitting_to_email,Redirect,age_of_domain,Result

"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=11, tm_hour=4, tm_min=12, tm_sec=55, tm_wday=0, tm_yday=11, tm_isdst=0)",https://gist.github.com/betrcode/0248f0fda894013382d7,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=11, tm_hour=4, tm_min=16, tm_sec=2, tm_wday=0, tm_yday=11, tm_isdst=0)",https://gist.github.com/betrcode/0248f0fda894013382d7,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=11, tm_hour=4, tm_min=20, tm_sec=36, tm_wday=0, tm_yday=11, tm_isdst=0)",https://gist.github.com/betrcode/0248f0fda894013382d7,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=11, tm_hour=4, tm_min=20, tm_sec=58, tm_wday=0, tm_yday=11, tm_isdst=0)",https://gist.github.com/betrcode/0248f0fda894013382d7,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=11, tm_hour=4, tm_min=21, tm_sec=21, tm_wday=0, tm_yday=11, tm_isdst=0)",https://gist.github.com/betrcode/0248f0fda894013382d7,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=11, tm_hour=4, tm_min=24, tm_sec=55, tm_wday=0, tm_yday=11, tm_isdst=0)",https://gist.github.com/betrcode/0248f0fda894013382d7,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=11, tm_hour=4, tm_min=30, tm_sec=47, tm_wday=0, tm_yday=11, tm_isdst=0)",https://github.com/tanvig14/Phishy/commits/main/API/server.py,1,-1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=11, tm_hour=4, tm_min=31, tm_sec=1, tm_wday=0, tm_yday=11, tm_isdst=0)",https://github.com/tanvig14/Phishy/commits/main/API/server.py,1,-1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=11, tm_hour=14, tm_min=0, tm_sec=1, tm_wday=0, tm_yday=11, tm_isdst=0)",https://gist.github.com/betrcode/0248f0fda894013382d7,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=11, tm_hour=14, tm_min=4, tm_sec=9, tm_wday=0, tm_yday=11, tm_isdst=0)",https://gist.github.com/betrcode/0248f0fda894013382d7,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=11, tm_hour=21, tm_min=39, tm_sec=57, tm_wday=0, tm_yday=11, tm_isdst=0)",https://gist.github.com/betrcode/0248f0fda894013382d7,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=11, tm_hour=21, tm_min=41, tm_sec=14, tm_wday=0, tm_yday=11, tm_isdst=0)","https://secure.runascape.com-vc.ru/m=weblogin/loginform569,231,259,77923273,2167",1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=11, tm_hour=21, tm_min=42, tm_sec=4, tm_wday=0, tm_yday=11, tm_isdst=0)",https://gist.github.com/betrcode/0248f0fda894013382d7,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=11, tm_hour=21, tm_min=46, tm_sec=32, tm_wday=0, tm_yday=11, tm_isdst=0)",https://gist.github.com/betrcode/0248f0fda894013382d7,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=11, tm_hour=21, tm_min=47, tm_sec=7, tm_wday=0, tm_yday=11, tm_isdst=0)","https://secure.runascape.com-vc.ru/m=weblogin/loginform569,231,259,77923273,2167",1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=11, tm_hour=21, tm_min=54, tm_sec=15, tm_wday=0, tm_yday=11, tm_isdst=0)",https://gist.github.com/betrcode/0248f0fda894013382d7,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=11, tm_hour=22, tm_min=6, tm_sec=57, tm_wday=0, tm_yday=11, tm_isdst=0)",https://gist.github.com/betrcode/0248f0fda894013382d7,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=11, tm_hour=22, tm_min=8, tm_sec=16, tm_wday=0, tm_yday=11, tm_isdst=0)","https://secure.runascape.com-vc.ru/m=weblogin/loginform569,231,259,77923273,2167",1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=12, tm_hour=3, tm_min=0, tm_sec=30, tm_wday=1, tm_yday=12, tm_isdst=0)",https://gist.github.com/betrcode/0248f0fda894013382d7,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=12, tm_hour=3, tm_min=1, tm_sec=26, tm_wday=1, tm_yday=12, tm_isdst=0)",https://www.youtube.com/,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=12, tm_hour=3, tm_min=9, tm_sec=46, tm_wday=1, tm_yday=12, tm_isdst=0)",https://gist.github.com/betrcode/0248f0fda894013382d7,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=12, tm_hour=3, tm_min=10, tm_sec=8, tm_wday=1, tm_yday=12, tm_isdst=0)",https://www.youtube.com/,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=12, tm_hour=4, tm_min=27, tm_sec=5, tm_wday=1, tm_yday=12, tm_isdst=0)",https://gist.github.com/betrcode/0248f0fda894013382d7,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=12, tm_hour=17, tm_min=11, tm_sec=53, tm_wday=1, tm_yday=12, tm_isdst=0)",https://www.youtube.com/,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=13, tm_hour=14, tm_min=52, tm_sec=10, tm_wday=2, tm_yday=13, tm_isdst=0)",https://gist.github.com/betrcode/0248f0fda894013382d7,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=13, tm_hour=14, tm_min=53, tm_sec=39, tm_wday=2, tm_yday=13, tm_isdst=0)",https://gist.github.com/betrcode/0248f0fda894013382d7,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=13, tm_hour=14, tm_min=53, tm_sec=48, tm_wday=2, tm_yday=13, tm_isdst=0)",https://gist.github.com/betrcode/0248f0fda894013382d7,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=13, tm_hour=14, tm_min=54, tm_sec=7, tm_wday=2, tm_yday=13, tm_isdst=0)",https://gist.github.com/betrcode/0248f0fda894013382d7,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=13, tm_hour=14, tm_min=54, tm_sec=11, tm_wday=2, tm_yday=13, tm_isdst=0)",https://gist.github.com/betrcode/0248f0fda894013382d7,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=13, tm_hour=14, tm_min=54, tm_sec=19, tm_wday=2, tm_yday=13, tm_isdst=0)",https://gist.github.com/betrcode/0248f0fda894013382d7,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=13, tm_hour=15, tm_min=38, tm_sec=26, tm_wday=2, tm_yday=13, tm_isdst=0)",https://gist.github.com/betrcode/0248f0fda894013382d7,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=13, tm_hour=15, tm_min=39, tm_sec=18, tm_wday=2, tm_yday=13, tm_isdst=0)",https://gist.github.com/betrcode/0248f0fda894013382d7,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=13, tm_hour=15, tm_min=41, tm_sec=30, tm_wday=2, tm_yday=13, tm_isdst=0)",https://gist.github.com/betrcode/0248f0fda894013382d7,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=13, tm_hour=15, tm_min=42, tm_sec=30, tm_wday=2, tm_yday=13, tm_isdst=0)",https://gist.github.com/betrcode/0248f0fda894013382d7,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=13, tm_hour=15, tm_min=43, tm_sec=22, tm_wday=2, tm_yday=13, tm_isdst=0)",https://gist.github.com/betrcode/0248f0fda894013382d7,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=13, tm_hour=15, tm_min=55, tm_sec=55, tm_wday=2, tm_yday=13, tm_isdst=0)",https://gist.github.com/betrcode/0248f0fda894013382d7,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=13, tm_hour=15, tm_min=56, tm_sec=57, tm_wday=2, tm_yday=13, tm_isdst=0)",https://gist.github.com/betrcode/0248f0fda894013382d7,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=13, tm_hour=16, tm_min=2, tm_sec=28, tm_wday=2, tm_yday=13, tm_isdst=0)",https://gist.github.com/betrcode/0248f0fda894013382d7,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=13, tm_hour=16, tm_min=3, tm_sec=40, tm_wday=2, tm_yday=13, tm_isdst=0)",https://gist.github.com/betrcode/0248f0fda894013382d7,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=13, tm_hour=16, tm_min=6, tm_sec=41, tm_wday=2, tm_yday=13, tm_isdst=0)",https://gist.github.com/betrcode/0248f0fda894013382d7,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=13, tm_hour=16, tm_min=7, tm_sec=48, tm_wday=2, tm_yday=13, tm_isdst=0)",https://gist.github.com/betrcode/0248f0fda894013382d7,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=13, tm_hour=16, tm_min=13, tm_sec=17, tm_wday=2, tm_yday=13, tm_isdst=0)",https://gist.github.com/betrcode/0248f0fda894013382d7,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=13, tm_hour=16, tm_min=15, tm_sec=10, tm_wday=2, tm_yday=13, tm_isdst=0)",https://gist.github.com/betrcode/0248f0fda894013382d7,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=13, tm_hour=16, tm_min=15, tm_sec=47, tm_wday=2, tm_yday=13, tm_isdst=0)",https://gist.github.com/betrcode/0248f0fda894013382d7,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=13, tm_hour=16, tm_min=18, tm_sec=56, tm_wday=2, tm_yday=13, tm_isdst=0)",https://gist.github.com/betrcode/0248f0fda894013382d7,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=13, tm_hour=16, tm_min=19, tm_sec=33, tm_wday=2, tm_yday=13, tm_isdst=0)",https://gist.github.com/betrcode/0248f0fda894013382d7,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=13, tm_hour=16, tm_min=21, tm_sec=45, tm_wday=2, tm_yday=13, tm_isdst=0)",https://gist.github.com/betrcode/0248f0fda894013382d7,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=13, tm_hour=16, tm_min=23, tm_sec=36, tm_wday=2, tm_yday=13, tm_isdst=0)",https://gist.github.com/betrcode/0248f0fda894013382d7,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=13, tm_hour=16, tm_min=25, tm_sec=3, tm_wday=2, tm_yday=13, tm_isdst=0)",https://gist.github.com/betrcode/0248f0fda894013382d7,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=13, tm_hour=16, tm_min=26, tm_sec=22, tm_wday=2, tm_yday=13, tm_isdst=0)",https://gist.github.com/betrcode/0248f0fda894013382d7,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=13, tm_hour=16, tm_min=26, tm_sec=26, tm_wday=2, tm_yday=13, tm_isdst=0)",https://gist.github.com/betrcode/0248f0fda894013382d7,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=13, tm_hour=16, tm_min=26, tm_sec=30, tm_wday=2, tm_yday=13, tm_isdst=0)",https://gist.github.com/betrcode/0248f0fda894013382d7,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=13, tm_hour=16, tm_min=26, tm_sec=33, tm_wday=2, tm_yday=13, tm_isdst=0)",https://gist.github.com/betrcode/0248f0fda894013382d7,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=13, tm_hour=16, tm_min=26, tm_sec=37, tm_wday=2, tm_yday=13, tm_isdst=0)",https://gist.github.com/betrcode/0248f0fda894013382d7,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=13, tm_hour=16, tm_min=26, tm_sec=41, tm_wday=2, tm_yday=13, tm_isdst=0)",https://gist.github.com/betrcode/0248f0fda894013382d7,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=13, tm_hour=16, tm_min=27, tm_sec=30, tm_wday=2, tm_yday=13, tm_isdst=0)",https://gist.github.com/betrcode/0248f0fda894013382d7,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=13, tm_hour=16, tm_min=32, tm_sec=54, tm_wday=2, tm_yday=13, tm_isdst=0)",https://gist.github.com/betrcode/0248f0fda894013382d7,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=13, tm_hour=16, tm_min=33, tm_sec=45, tm_wday=2, tm_yday=13, tm_isdst=0)",https://gist.github.com/betrcode/0248f0fda894013382d7,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=13, tm_hour=16, tm_min=34, tm_sec=54, tm_wday=2, tm_yday=13, tm_isdst=0)",https://gist.github.com/betrcode/0248f0fda894013382d7,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=13, tm_hour=16, tm_min=41, tm_sec=59, tm_wday=2, tm_yday=13, tm_isdst=0)",https://gist.github.com/betrcode/0248f0fda894013382d7,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=13, tm_hour=16, tm_min=42, tm_sec=42, tm_wday=2, tm_yday=13, tm_isdst=0)",https://gist.github.com/betrcode/0248f0fda894013382d7,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=13, tm_hour=16, tm_min=43, tm_sec=33, tm_wday=2, tm_yday=13, tm_isdst=0)",https://gist.github.com/betrcode/0248f0fda894013382d7,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=13, tm_hour=16, tm_min=43, tm_sec=36, tm_wday=2, tm_yday=13, tm_isdst=0)",https://gist.github.com/betrcode/0248f0fda894013382d7,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=13, tm_hour=16, tm_min=43, tm_sec=40, tm_wday=2, tm_yday=13, tm_isdst=0)",https://gist.github.com/betrcode/0248f0fda894013382d7,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
"time.struct_time(tm_year=2021, tm_mon=1, tm_mday=13, tm_hour=16, tm_min=44, tm_sec=23, tm_wday=2, tm_yday=13, tm_isdst=0)",https://gist.github.com/betrcode/0248f0fda894013382d7,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1
